run,horizon_minutes,strategy,session_id,decision_time,entry_time,exit_time,direction,midpoint_change_cad,spread_crossing_cad,touch_change_cad,additional_slippage_cad,fees_cad,net_benchmark_cad,status,stress_net_cad,delayed_exit_minutes
cgb_only-1729,60,model,2025-02-19,2025-02-19 14:05:00+00:00,2025-02-19 14:06:00+00:00,2025-02-19 15:05:00+00:00,1,114.99999999998067,14.999999999986358,99.99999999999432,10.0,4.0,85.99999999999432,price_touch_benchmark_not_verified_fills,55.999999999994316,0.0
cgb_only-1729,60,model,2025-02-19,2025-02-19 15:10:00+00:00,2025-02-19 15:11:00+00:00,2025-02-19 16:10:00+00:00,1,-279.9999999999869,20.000000000010232,-299.99999999999716,10.0,4.0,-313.99999999999716,price_touch_benchmark_not_verified_fills,-343.99999999999716,0.0
cgb_only-1729,60,model,2025-02-19,2025-02-19 16:15:00+00:00,2025-02-19 16:16:00+00:00,2025-02-19 17:15:00+00:00,-1,245.00000000000455,15.000000000000568,230.00000000000398,10.0,4.0,216.00000000000398,price_touch_benchmark_not_verified_fills,186.00000000000398,0.0
cgb_only-1729,60,model,2025-02-19,2025-02-19 17:25:00+00:00,2025-02-19 17:26:00+00:00,2025-02-19 18:25:00+00:00,-1,89.9999999999892,19.99999999999602,69.99999999999318,10.0,4.0,55.99999999999318,price_touch_benchmark_not_verified_fills,25.99999999999318,0.0
cgb_only-1729,60,model,2025-02-19,2025-02-19 18:35:00+00:00,2025-02-19 18:36:00+00:00,2025-02-19 19:35:00+00:00,-1,45.000000000015916,15.00000000001478,30.000000000001137,10.0,4.0,16.000000000001137,price_touch_benchmark_not_verified_fills,-13.999999999998863,0.0
cgb_only-1729,60,model,2025-02-20,2025-02-20 14:10:00+00:00,2025-02-20 14:11:00+00:00,2025-02-20 15:10:00+00:00,-1,-15.00000000001478,14.999999999986358,-30.000000000001137,10.0,4.0,-44.00000000000114,price_touch_benchmark_not_verified_fills,-74.00000000000114,0.0
cgb_only-1729,60,model,2025-02-20,2025-02-20 16:55:00+00:00,2025-02-20 16:56:00+00:00,2025-02-20 17:55:00+00:00,-1,34.99999999999659,15.000000000000568,19.99999999999602,10.0,4.0,5.999999999996021,price_touch_benchmark_not_verified_fills,-24.00000000000398,0.0
cgb_only-1729,60,model,2025-02-20,2025-02-20 18:15:00+00:00,2025-02-20 18:16:00+00:00,2025-02-20 19:15:00+00:00,-1,500.0,19.99999999999602,480.000000000004,10.0,4.0,466.000000000004,price_touch_benchmark_not_verified_fills,436.000000000004,0.0
cgb_only-1729,60,model,2025-02-20,2025-02-20 19:20:00+00:00,2025-02-20 19:21:00+00:00,2025-02-20 20:20:00+00:00,-1,10.000000000019327,10.000000000019327,0.0,10.0,4.0,-14.0,price_touch_benchmark_not_verified_fills,-44.0,0.0
cgb_only-1729,60,model,2025-02-21,2025-02-21 14:05:00+00:00,2025-02-21 14:06:00+00:00,2025-02-21 15:05:00+00:00,-1,189.99999999999773,10.000000000005116,179.9999999999926,10.0,4.0,165.9999999999926,price_touch_benchmark_not_verified_fills,135.9999999999926,0.0
cgb_only-1729,60,model,2025-02-21,2025-02-21 15:10:00+00:00,2025-02-21 15:11:00+00:00,2025-02-21 16:10:00+00:00,-1,39.99999999999204,10.000000000005116,29.999999999986926,10.0,4.0,15.999999999986926,price_touch_benchmark_not_verified_fills,-14.000000000013074,0.0
cgb_only-1729,60,model,2025-02-21,2025-02-21 16:15:00+00:00,2025-02-21 16:16:00+00:00,2025-02-21 17:15:00+00:00,-1,-15.00000000001478,14.999999999986358,-30.000000000001137,10.0,4.0,-44.00000000000114,price_touch_benchmark_not_verified_fills,-74.00000000000114,0.0
cgb_only-1729,60,model,2025-02-21,2025-02-21 17:35:00+00:00,2025-02-21 17:36:00+00:00,2025-02-21 18:35:00+00:00,1,70.0000000000216,10.000000000019327,60.000000000002274,10.0,4.0,46.000000000002274,price_touch_benchmark_not_verified_fills,16.000000000002274,0.0
cgb_only-1729,60,model,2025-02-21,2025-02-21 19:35:00+00:00,2025-02-21 19:36:00+00:00,2025-02-21 20:35:00+00:00,-1,45.000000000015916,15.00000000001478,30.000000000001137,10.0,4.0,16.000000000001137,price_touch_benchmark_not_verified_fills,-13.999999999998863,0.0
cgb_only-1729,60,model,2025-02-24,2025-02-24 15:55:00+00:00,2025-02-24 15:56:00+00:00,2025-02-24 16:55:00+00:00,-1,34.99999999999659,15.000000000000568,19.99999999999602,10.0,4.0,5.999999999996021,price_touch_benchmark_not_verified_fills,-24.00000000000398,0.0
cgb_only-1729,60,model,2025-02-24,2025-02-24 17:15:00+00:00,2025-02-24 17:16:00+00:00,2025-02-24 18:15:00+00:00,-1,60.000000000002274,10.000000000005116,49.99999999999716,10.0,4.0,35.99999999999716,price_touch_benchmark_not_verified_fills,5.999999999997158,0.0
cgb_only-1729,60,model,2025-02-24,2025-02-24 18:30:00+00:00,2025-02-24 18:31:00+00:00,2025-02-24 19:30:00+00:00,1,179.9999999999784,19.99999999998181,159.9999999999966,10.0,4.0,145.9999999999966,price_touch_benchmark_not_verified_fills,115.99999999999659,0.0
