run,horizon_minutes,strategy,session_id,decision_time,entry_time,exit_time,direction,midpoint_change_cad,spread_crossing_cad,touch_change_cad,additional_slippage_cad,fees_cad,net_benchmark_cad,status,stress_net_cad,delayed_exit_minutes
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 14:05:00+00:00,2025-02-19 14:06:00+00:00,2025-02-19 15:05:00+00:00,1,114.99999999998067,14.999999999986358,99.99999999999432,10.0,4.0,85.99999999999432,price_touch_benchmark_not_verified_fills,55.999999999994316,0.0
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 15:25:00+00:00,2025-02-19 15:26:00+00:00,2025-02-19 16:25:00+00:00,1,-1019.999999999996,60.000000000002274,-1079.9999999999982,10.0,4.0,-1093.9999999999982,price_touch_benchmark_not_verified_fills,-1123.9999999999982,0.0
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 16:30:00+00:00,2025-02-19 16:31:00+00:00,2025-02-19 17:30:00+00:00,-1,190.00000000001194,40.00000000000625,150.00000000000568,10.0,4.0,136.00000000000568,price_touch_benchmark_not_verified_fills,106.00000000000568,0.0
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 17:35:00+00:00,2025-02-19 17:36:00+00:00,2025-02-19 18:35:00+00:00,-1,44.999999999987494,14.999999999986358,30.000000000001137,10.0,4.0,16.000000000001137,price_touch_benchmark_not_verified_fills,-13.999999999998863,0.0
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 18:40:00+00:00,2025-02-19 18:41:00+00:00,2025-02-19 19:40:00+00:00,-1,4.9999999999954525,14.999999999986358,-9.999999999990905,10.0,4.0,-23.999999999990905,price_touch_benchmark_not_verified_fills,-53.999999999990905,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 14:05:00+00:00,2025-02-20 14:06:00+00:00,2025-02-20 15:05:00+00:00,-1,-34.99999999999659,15.000000000000568,-49.99999999999716,10.0,4.0,-63.99999999999716,price_touch_benchmark_not_verified_fills,-93.99999999999716,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 15:25:00+00:00,2025-02-20 15:26:00+00:00,2025-02-20 16:25:00+00:00,-1,90.00000000000341,60.000000000002274,30.000000000001137,10.0,4.0,16.000000000001137,price_touch_benchmark_not_verified_fills,-13.999999999998863,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 17:05:00+00:00,2025-02-20 17:06:00+00:00,2025-02-20 18:05:00+00:00,-1,10.000000000005116,40.00000000000625,-30.000000000001137,10.0,4.0,-44.00000000000114,price_touch_benchmark_not_verified_fills,-74.00000000000114,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 18:10:00+00:00,2025-02-20 18:11:00+00:00,2025-02-20 19:10:00+00:00,-1,579.9999999999841,19.99999999998181,560.0000000000023,10.0,4.0,546.0000000000023,price_touch_benchmark_not_verified_fills,516.0000000000023,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 19:20:00+00:00,2025-02-20 19:21:00+00:00,2025-02-20 20:20:00+00:00,-1,20.000000000010232,10.000000000005116,10.000000000005116,10.0,4.0,-3.999999999994884,price_touch_benchmark_not_verified_fills,-33.999999999994884,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 14:05:00+00:00,2025-02-21 14:06:00+00:00,2025-02-21 15:05:00+00:00,-1,189.99999999999773,10.000000000005116,179.9999999999926,10.0,4.0,165.9999999999926,price_touch_benchmark_not_verified_fills,135.9999999999926,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 15:15:00+00:00,2025-02-21 15:16:00+00:00,2025-02-21 16:15:00+00:00,-1,189.99999999999773,60.000000000002274,129.99999999999545,10.0,4.0,115.99999999999545,price_touch_benchmark_not_verified_fills,85.99999999999545,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 16:20:00+00:00,2025-02-21 16:21:00+00:00,2025-02-21 17:20:00+00:00,-1,-170.00000000001592,39.99999999999204,-210.00000000000796,10.0,4.0,-224.00000000000796,price_touch_benchmark_not_verified_fills,-254.00000000000796,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 17:30:00+00:00,2025-02-21 17:31:00+00:00,2025-02-21 18:30:00+00:00,1,94.99999999999886,15.000000000000568,79.9999999999983,10.0,4.0,65.9999999999983,price_touch_benchmark_not_verified_fills,35.999999999998295,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 18:35:00+00:00,2025-02-21 18:36:00+00:00,2025-02-21 19:35:00+00:00,1,-45.000000000015916,14.999999999986358,-60.000000000002274,10.0,4.0,-74.00000000000227,price_touch_benchmark_not_verified_fills,-104.00000000000227,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 19:40:00+00:00,2025-02-21 19:41:00+00:00,2025-02-21 20:40:00+00:00,-1,94.99999999999886,15.000000000000568,79.9999999999983,10.0,4.0,65.9999999999983,price_touch_benchmark_not_verified_fills,35.999999999998295,0.0
liquidity_shock-1729,60,model,2025-02-24,2025-02-24 14:05:00+00:00,2025-02-24 14:06:00+00:00,2025-02-24 15:05:00+00:00,1,50.00000000001137,10.000000000019327,39.99999999999204,10.0,4.0,25.999999999992042,price_touch_benchmark_not_verified_fills,-4.000000000007958,0.0
liquidity_shock-1729,60,model,2025-02-24,2025-02-24 15:35:00+00:00,2025-02-24 15:36:00+00:00,2025-02-24 16:35:00+00:00,-1,19.99999999999602,60.000000000002274,-40.00000000000625,10.0,4.0,-54.00000000000625,price_touch_benchmark_not_verified_fills,-84.00000000000625,0.0
liquidity_shock-1729,60,model,2025-02-24,2025-02-24 16:50:00+00:00,2025-02-24 16:51:00+00:00,2025-02-24 17:50:00+00:00,-1,154.99999999998693,34.99999999999659,119.99999999999034,10.0,4.0,105.99999999999034,price_touch_benchmark_not_verified_fills,75.99999999999034,0.0
liquidity_shock-1729,60,model,2025-02-24,2025-02-24 17:55:00+00:00,2025-02-24 17:56:00+00:00,2025-02-24 18:55:00+00:00,-1,-204.99999999998408,15.000000000000568,-219.99999999998465,10.0,4.0,-233.99999999998465,price_touch_benchmark_not_verified_fills,-263.99999999998465,0.0
liquidity_shock-1729,60,model,2025-02-25,2025-02-25 14:05:00+00:00,2025-02-25 14:06:00+00:00,2025-02-25 15:05:00+00:00,-1,509.9999999999909,9.999999999990905,500.0,10.0,4.0,486.0,price_touch_benchmark_not_verified_fills,456.0,0.0
liquidity_shock-1729,60,model,2025-02-25,2025-02-25 15:10:00+00:00,2025-02-25 15:11:00+00:00,2025-02-25 16:10:00+00:00,-1,49.99999999999716,60.000000000002274,-10.000000000005116,10.0,4.0,-24.000000000005116,price_touch_benchmark_not_verified_fills,-54.000000000005116,0.0
liquidity_shock-1729,60,model,2025-02-25,2025-02-25 16:50:00+00:00,2025-02-25 16:51:00+00:00,2025-02-25 17:50:00+00:00,1,-94.99999999999886,35.0000000000108,-130.00000000000966,10.0,4.0,-144.00000000000966,price_touch_benchmark_not_verified_fills,-174.00000000000966,0.0
liquidity_shock-1729,60,model,2025-02-25,2025-02-25 18:00:00+00:00,2025-02-25 18:01:00+00:00,2025-02-25 19:00:00+00:00,-1,139.99999999998636,9.999999999990905,129.99999999999545,10.0,4.0,115.99999999999545,price_touch_benchmark_not_verified_fills,85.99999999999545,0.0
liquidity_shock-1729,60,model,2025-02-25,2025-02-25 19:05:00+00:00,2025-02-25 19:06:00+00:00,2025-02-25 20:05:00+00:00,-1,90.00000000000341,10.000000000005116,79.9999999999983,10.0,4.0,65.9999999999983,price_touch_benchmark_not_verified_fills,35.999999999998295,0.0
liquidity_shock-1729,60,model,2025-02-26,2025-02-26 14:25:00+00:00,2025-02-26 14:26:00+00:00,2025-02-26 15:25:00+00:00,-1,79.99999999998408,39.99999999999204,39.99999999999204,10.0,4.0,25.999999999992042,price_touch_benchmark_not_verified_fills,-4.000000000007958,0.0
liquidity_shock-1729,60,model,2025-02-26,2025-02-26 15:35:00+00:00,2025-02-26 15:36:00+00:00,2025-02-26 16:35:00+00:00,-1,250.0,60.000000000002274,189.99999999999773,10.0,4.0,175.99999999999773,price_touch_benchmark_not_verified_fills,145.99999999999773,0.0
liquidity_shock-1729,60,model,2025-02-26,2025-02-26 16:40:00+00:00,2025-02-26 16:41:00+00:00,2025-02-26 17:40:00+00:00,-1,-149.99999999999147,39.99999999999204,-189.99999999998352,10.0,4.0,-203.99999999998352,price_touch_benchmark_not_verified_fills,-233.99999999998352,0.0
liquidity_shock-1729,60,model,2025-02-26,2025-02-26 18:00:00+00:00,2025-02-26 18:01:00+00:00,2025-02-26 19:00:00+00:00,-1,185.00000000000227,15.000000000000568,170.0000000000017,10.0,4.0,156.0000000000017,price_touch_benchmark_not_verified_fills,126.0000000000017,0.0
liquidity_shock-1729,60,model,2025-02-26,2025-02-26 19:10:00+00:00,2025-02-26 19:11:00+00:00,2025-02-26 20:10:00+00:00,-1,-180.00000000000682,10.000000000005116,-190.00000000001194,10.0,4.0,-204.00000000001194,price_touch_benchmark_not_verified_fills,-234.00000000001194,0.0
liquidity_shock-1729,60,model,2025-02-27,2025-02-27 14:05:00+00:00,2025-02-27 14:06:00+00:00,2025-02-27 15:05:00+00:00,1,74.99999999998863,15.000000000000568,59.99999999998806,10.0,4.0,45.99999999998806,price_touch_benchmark_not_verified_fills,15.999999999988063,0.0
