run,horizon_minutes,strategy,trades,long_trades,short_trades,gross_cad,spread_cad,extra_slippage_cad,fees_cad,net_cad,stress_net_cad,win_fraction,max_drawdown_cad,held_minutes,priced_subset_net_cad,unpriced_trades,accounting_status
base-1729,60,always_long,48,48,0,-1285.000000000025,645.0000000000813,480.0,192.0,-2602.0000000001064,-4042.000000000106,0.3333333333333333,3532.000000000054,2832.0,-2602.0000000001064,0,complete_priced_book
base-1729,60,always_short,48,0,48,1285.000000000025,645.0000000001381,480.0,192.0,-32.00000000011312,-1472.0000000001132,0.4791666666666667,1615.0000000000375,2832.0,-32.00000000011312,0,complete_priced_book
base-1729,60,model,41,14,27,4765.000000000071,535.0000000001529,410.0,164.0,3655.999999999919,2425.9999999999186,0.6341463414634146,329.9999999999985,2419.0,3655.999999999919,0,complete_priced_book
base-1729,60,simple_momentum,39,23,16,269.99999999988233,539.999999999992,390.0,156.0,-816.0000000001097,-1986.00000000011,0.4871794871794871,1230.00000000008,2301.0,-816.0000000001097,0,complete_priced_book
base-1729,120,always_long,24,24,0,-1209.99999999988,350.0000000001222,240.0,96.0,-1896.0000000000025,-2616.0000000000023,0.4166666666666667,3027.999999999985,2856.0,-1896.0000000000025,0,complete_priced_book
base-1729,120,always_short,24,0,24,1209.99999999988,349.9999999999517,240.0,96.0,523.9999999999284,-196.0000000000716,0.5416666666666666,1360.0000000000168,2856.0,523.9999999999284,0,complete_priced_book
base-1729,120,model,20,6,14,2675.000000000011,275.00000000007674,200.0,80.0,2119.9999999999345,1519.9999999999347,0.65,634.0000000000045,2380.0,2119.9999999999345,0,complete_priced_book
base-1729,120,simple_momentum,22,12,10,1949.9999999999457,310.0000000000307,220.0,88.0,1331.9999999999154,671.9999999999153,0.6363636363636364,717.9999999999977,2618.0,1331.9999999999154,0,complete_priced_book
base-1729,240,always_long,8,8,0,-875.0000000000568,105.00000000000398,80.0,32.0,-1092.000000000061,-1332.000000000061,0.25,2374.0000000000296,1912.0,-1092.000000000061,0,complete_priced_book
base-1729,240,always_short,8,0,8,875.0000000000568,105.0000000000324,80.0,32.0,658.0000000000244,418.0000000000245,0.75,1133.9999999999886,1912.0,658.0000000000244,0,complete_priced_book
base-1729,240,model,8,4,4,1589.9999999999466,119.99999999996191,80.0,32.0,1357.9999999999843,1117.9999999999843,0.75,728.0000000000033,1912.0,1357.9999999999843,0,complete_priced_book
