seed,horizon_minutes,candidate,reference,metric,sessions,difference,ci_low,ci_high
1729,60,supervised_local,supervised_uniform,log_loss,8,-3.191891195797325e-16,-1.2351231148954867e-15,5.967448757360216e-16
1729,60,supervised_local,supervised_uniform,brier,8,-1.6653345369377348e-16,-5.828670879282072e-16,2.636779683484747e-16
1729,60,supervised_local,supervised_uniform,endpoint_crps_ticks,8,-0.00669108026170584,-0.017908936732288626,0.004206824573306703
1729,60,supervised_local,supervised_uniform,long_mae_crps_ticks,8,-0.03501626845211714,-0.07551233881625852,0.0067200028439468595
1729,60,supervised_local,supervised_uniform,short_mae_crps_ticks,8,-0.0032937038288523013,-0.046977665208030955,0.03567793366445623
1729,60,supervised_local,supervised_uniform,marginal_crps_ticks,8,-0.015000350847558408,-0.03784222156583293,0.008146229433319427
1729,60,supervised_local,supervised_uniform,long_pinball80_ticks,8,-0.012161302185786649,-0.06867392452267664,0.04832293973489726
1729,60,supervised_local,supervised_uniform,short_pinball80_ticks,8,0.0057945978426984235,-0.03378374167744926,0.04188611028414824
1729,60,supervised_local,supervised_uniform,interval80_score_ticks,8,-0.12645622650133603,-0.48878585181413453,0.1813159368461381
2718,60,supervised_local,supervised_uniform,log_loss,8,-4.163336342344337e-16,-1.2771034230141253e-15,5.273559366969494e-16
2718,60,supervised_local,supervised_uniform,brier,8,-2.983724378680108e-16,-9.575673587391975e-16,3.885780586188048e-16
2718,60,supervised_local,supervised_uniform,endpoint_crps_ticks,8,-0.035675677532994166,-0.06915207985524818,-0.00829712655123807
2718,60,supervised_local,supervised_uniform,long_mae_crps_ticks,8,-0.04246435332446363,-0.07370252166196484,-0.010341112161891831
2718,60,supervised_local,supervised_uniform,short_mae_crps_ticks,8,-0.04607956579154715,-0.08738715469886366,-0.01089059774825163
2718,60,supervised_local,supervised_uniform,marginal_crps_ticks,8,-0.04140653221633506,-0.07018128742042662,-0.01420148953219407
2718,60,supervised_local,supervised_uniform,long_pinball80_ticks,8,-0.021190252604448567,-0.03604528271351504,-0.005853727663586464
2718,60,supervised_local,supervised_uniform,short_pinball80_ticks,8,-0.03372766703395952,-0.086633303132513,0.01495442938752065
2718,60,supervised_local,supervised_uniform,interval80_score_ticks,8,-0.30593710781519334,-1.1452017579155143,0.5962261995449499
3141,60,supervised_local,supervised_uniform,log_loss,8,7.91033905045424e-16,-1.113692471577109e-16,1.7208456881689926e-15
3141,60,supervised_local,supervised_uniform,brier,8,2.5673907444456745e-16,-3.5388358909926865e-16,8.396061623727746e-16
3141,60,supervised_local,supervised_uniform,endpoint_crps_ticks,8,-0.020715389995667022,-0.04661705749624155,-0.00038655379690610836
3141,60,supervised_local,supervised_uniform,long_mae_crps_ticks,8,-0.02476718040666831,-0.05394724561344733,0.00672551881669491
3141,60,supervised_local,supervised_uniform,short_mae_crps_ticks,8,-0.020643730410123518,-0.048208972776146795,0.0012306880201071809
3141,60,supervised_local,supervised_uniform,marginal_crps_ticks,8,-0.022042100270819542,-0.046866272496816866,-0.001940712907984194
3141,60,supervised_local,supervised_uniform,long_pinball80_ticks,8,-0.019434199817762426,-0.041993903567940534,0.0025585415755621692
3141,60,supervised_local,supervised_uniform,short_pinball80_ticks,8,-0.012588980498089875,-0.046773342623224995,0.015367712343908397
3141,60,supervised_local,supervised_uniform,interval80_score_ticks,8,-0.48307603649100184,-0.7665729096316775,-0.19988285767401692
1729,60,cal_path_mixture,frozen_mixture,log_loss,8,1.249000902703301e-16,5.551115123125783e-17,1.942890293094024e-16
1729,60,cal_path_mixture,frozen_mixture,brier,8,2.7755575615628914e-17,0.0,6.938893903907228e-17
1729,60,cal_path_mixture,frozen_mixture,endpoint_crps_ticks,8,1.1102230246251565e-16,0.0,3.3306690738754696e-16
1729,60,cal_path_mixture,frozen_mixture,long_mae_crps_ticks,8,1.1102230246251565e-16,0.0,3.3306690738754696e-16
1729,60,cal_path_mixture,frozen_mixture,short_mae_crps_ticks,8,0.0,-3.3306690738754696e-16,3.3306690738754696e-16
1729,60,cal_path_mixture,frozen_mixture,marginal_crps_ticks,8,1.6653345369377348e-16,0.0,3.885780586188048e-16
