configuration,horizon_minutes,candidate,reference,mean_loss_gap,ci_low,ci_high,analytic_information_gap
price_only,60,causal_kalman_observer,hidden_state_oracle,0.14591924498340034,0.12587702305699325,0.16596146690980743,0.1363683332573634
price_only,60,memory_limited_ridge,causal_kalman_observer,0.008267991396486707,0.0030238198362748867,0.013512162956698527,
price_only,120,causal_kalman_observer,hidden_state_oracle,0.07797613429622927,0.06214585472310287,0.09380641386935566,0.07230514813881166
price_only,120,memory_limited_ridge,causal_kalman_observer,0.017899444272290094,0.005875908971772804,0.029922979572807384,
price_only,240,causal_kalman_observer,hidden_state_oracle,0.030725660362825737,0.015952773441448388,0.045498547284203085,0.03142872027531098
price_only,240,memory_limited_ridge,causal_kalman_observer,0.02373567823732082,0.004910272642275795,0.04256108383236584,
precise_current_proxy,60,causal_kalman_observer,hidden_state_oracle,0.021302520267090085,0.017580749087031167,0.025024291447149002,0.020452998720995364
precise_current_proxy,60,memory_limited_ridge,causal_kalman_observer,0.02836757925708482,0.020878935938104904,0.03585622257606473,
precise_current_proxy,120,causal_kalman_observer,hidden_state_oracle,0.009312078353986817,0.006306037418095315,0.012318119289878318,0.010252601348394449
precise_current_proxy,120,memory_limited_ridge,causal_kalman_observer,0.030442295729728903,0.01675843557263254,0.044126155886825266,
precise_current_proxy,240,causal_kalman_observer,hidden_state_oracle,0.0029579378767138342,0.00016634137029777072,0.005749534383129898,0.004299023608246044
precise_current_proxy,240,memory_limited_ridge,causal_kalman_observer,0.031972046182699464,0.010440504726422627,0.0535035876389763,
noisy_current_proxy,60,causal_kalman_observer,hidden_state_oracle,0.12493710817934614,0.10890905174538518,0.1409651646133071,0.11550517263874378
noisy_current_proxy,60,memory_limited_ridge,causal_kalman_observer,0.025501465257226314,0.01721523986478869,0.03378769064966394,
noisy_current_proxy,120,causal_kalman_observer,hidden_state_oracle,0.06539722705348819,0.05179916669183436,0.07899528741514202,0.0606413844274919
noisy_current_proxy,120,memory_limited_ridge,causal_kalman_observer,0.02771019667294065,0.014760644558971445,0.04065974878690985,
noisy_current_proxy,240,causal_kalman_observer,hidden_state_oracle,0.024422697512292972,0.011864966815557935,0.03698042820902801,0.02617935351818771
noisy_current_proxy,240,memory_limited_ridge,causal_kalman_observer,0.028994927965863143,0.009436543778220174,0.04855331215350611,
precise_5min_late_proxy,60,causal_kalman_observer,hidden_state_oracle,0.06844399959022487,0.062110831982086626,0.07477716719836312,0.06612838620728485
precise_5min_late_proxy,60,memory_limited_ridge,causal_kalman_observer,0.020762317540136598,0.013950363924188075,0.02757427115608512,
precise_5min_late_proxy,120,causal_kalman_observer,hidden_state_oracle,0.03392108166865872,0.029322324784576765,0.038519838552740666,0.03390321289061869
precise_5min_late_proxy,120,memory_limited_ridge,causal_kalman_observer,0.02638106583400371,0.012870262562110319,0.0398918691058971,
precise_5min_late_proxy,240,causal_kalman_observer,hidden_state_oracle,0.01254089152144329,0.007305261871689119,0.017776521171197462,0.01441178976131701
precise_5min_late_proxy,240,memory_limited_ridge,causal_kalman_observer,0.029412071642849237,0.008434508944725336,0.05038963434097314,
precise_30min_late_proxy,60,causal_kalman_observer,hidden_state_oracle,0.13957512028399088,0.12184329038837857,0.1573069501796032,0.13236927506321888
precise_30min_late_proxy,60,memory_limited_ridge,causal_kalman_observer,0.0073801963860021455,0.002896565210425652,0.011863827561578638,
precise_30min_late_proxy,120,causal_kalman_observer,hidden_state_oracle,0.07518912273409525,0.06143462664532157,0.08894361882286894,0.07004711383959483
precise_30min_late_proxy,120,memory_limited_ridge,causal_kalman_observer,0.017950601249488392,0.005850099741209229,0.030051102757767553,
precise_30min_late_proxy,240,causal_kalman_observer,hidden_state_oracle,0.029142586443297494,0.016077132463064435,0.04220804042353055,0.030397784051004354
precise_30min_late_proxy,240,memory_limited_ridge,causal_kalman_observer,0.024046208800416795,0.004735808464342919,0.04335660913649067,
