horizon_minutes,minute,q10,q90,mean,actual
60,0,0.0,0.0,0.0,0.0
60,1,-2.981785217601684,2.6255231880974716,-0.2110148454220117,-1.999999999999602
60,2,-4.214015392070269,3.511414450980639,-0.4144118920836989,-3.0000000000001137
60,3,-5.3192310582141475,4.1487645854658375,-0.6570343261739146,-3.0000000000001137
60,4,-6.234961527487307,4.980791956740466,-1.01315954010573,-7.9999999999998295
60,5,-7.594727055363754,5.389366321994141,-1.0903301094574978,-7.500000000000284
60,6,-8.456265472227113,6.226436237443769,-1.3013349369203682,-9.99999999999801
60,7,-8.953028453528018,6.43194602434099,-1.5159965061163427,-10.500000000000398
60,8,-9.98847936884301,6.853465208106105,-1.7637049758767869,-11.499999999999488
60,9,-10.784059640390513,7.2762168014855675,-2.10164031670165,-9.499999999999886
60,10,-12.105998845828974,7.915631785431607,-2.1818531732974247,-9.000000000000341
60,11,-12.847992517209626,8.252170690890484,-2.381527484561287,-10.500000000000398
60,12,-13.484590655615591,8.816042505294396,-2.6125419207265494,-9.499999999999886
60,13,-14.146522614389207,9.121191354729254,-2.8892592905801413,-12.5
60,14,-15.17341121598486,9.612154799114263,-3.192214998827585,-15.500000000000114
60,15,-16.121347107752662,10.229940879177631,-3.3087008646795315,-14.999999999999147
60,16,-17.6451349518991,10.297344632980714,-3.5653082371341043,-13.49999999999909
60,17,-17.498745203209726,10.229266770198437,-3.802771829175038,-15.500000000000114
60,18,-18.255722020669722,10.639528511324094,-4.0461304392175785,-15.500000000000114
60,19,-19.029140114037457,10.742728472452182,-4.311481911102476,-17.99999999999926
60,20,-20.192691581392218,11.746516298941058,-4.503297570480737,-18.999999999999773
60,21,-21.09264432140128,11.945185512735206,-4.73572084840188,-18.500000000000227
60,22,-22.005701844606925,12.130880301140193,-4.976850341638601,-20.000000000000284
60,23,-22.98274041881382,11.887075657873446,-5.248134618594884,-20.49999999999983
60,24,-23.190490202283303,12.329717952536518,-5.500986575102185,-23.000000000000398
60,25,-24.320040233514376,12.73337940260428,-5.677181557024306,-23.99999999999949
60,26,-25.314996860441404,13.131293991783384,-5.893967607831262,-25.99999999999909
60,27,-25.361692443587074,13.335553682444413,-6.1169020276990205,-25.0
60,28,-26.81469895839401,13.376874188399647,-6.3824050135889125,-25.0
60,29,-26.248706505066227,13.438343468073127,-6.664677529924806,-25.99999999999909
60,30,-27.967589318048677,14.268069292111015,-6.797783943883283,-23.99999999999949
60,31,-28.078995732409815,14.37565130279234,-7.047999240977689,-20.999999999999375
60,32,-29.47342103350952,13.87346392947662,-7.2893748132944705,-23.000000000000398
60,33,-29.651851043898116,13.87346392947662,-7.563228439562181,-23.99999999999949
60,34,-29.944480651951743,14.053791911671091,-7.819855399827813,-23.499999999999943
60,35,-30.097629478862977,14.543011217953337,-8.014459366637446,-25.0
60,36,-30.360691936430033,14.680006655994664,-8.226078276863799,-24.499999999999034
60,37,-31.47839835189071,14.421310021065667,-8.465739145416995,-24.499999999999034
60,38,-31.514420466480274,15.287058913882309,-8.737344670851085,-25.499999999999545
60,39,-32.38120686553249,14.680006655994664,-9.024883426683516,-25.499999999999545
60,40,-33.38721556228417,15.304681669674943,-9.319681400572245,-25.0
60,41,-33.65448596898844,15.855387347974485,-9.511180648959536,-21.999999999999886
60,42,-34.23156154356112,15.323711063342438,-9.725264244625313,-21.50000000000034
60,43,-34.62623818707665,15.480863396110623,-10.022225245455683,-22.49999999999943
60,44,-35.24492389918495,15.456987087515907,-10.310828817552707,-21.50000000000034
60,45,-36.41975469582333,16.002664418942384,-10.682760136875478,-22.49999999999943
60,46,-36.94179542899564,15.632161192769374,-10.85918949108179,-22.49999999999943
60,47,-37.720819267154276,15.58729649812473,-11.084961938137809,-23.499999999999943
60,48,-38.36349412278998,14.91465703800616,-11.360691816891338,-23.499999999999943
60,49,-38.56773099345755,14.39387437595791,-11.646426018542718,-24.499999999999034
60,50,-39.528075233978626,14.509931340325059,-12.036456121534751,-26.500000000000057
60,51,-40.436267670488384,15.087116085544741,-12.202384412558793,-26.500000000000057
60,52,-40.51350751739735,14.820452428495317,-12.400260895700036,-26.500000000000057
60,53,-41.3802135612813,14.447219549943226,-12.662795401862251,-26.500000000000057
60,54,-41.40795261704236,13.829291120239233,-12.930145361727051,-25.499999999999545
60,55,-43.067421152309485,13.48557999264228,-13.29769863744585,-26.500000000000057
60,56,-42.77471049673304,13.865633365030394,-13.442467185910445,-27.499999999999147
60,57,-44.10042436695192,14.102593325272263,-13.618671672662751,-28.49999999999966
60,58,-44.06975769264342,13.671491974054238,-13.853586579660188,-30.49999999999926
60,59,-44.80056128547753,13.283804282686248,-14.092173449802207,-28.49999999999966
60,60,-45.2199714611232,13.785578243470718,-14.477958348783112,-28.49999999999966
120,0,0.0,0.0,0.0,0.0
120,1,-2.8324210975559327,2.682730845072129,-0.16384365211342022,-1.999999999999602
120,2,-4.0854873731246935,3.5633378934630433,-0.29728292787775995,-3.0000000000001137
120,3,-5.188285219641692,4.310992777984467,-0.47019803206250066,-3.0000000000001137
120,4,-6.231058685179144,5.242859519995382,-0.8135137285755402,-7.9999999999998295
120,5,-7.478288701417083,5.579448137276431,-0.8587824107132539,-7.500000000000284
120,6,-8.20801170342007,6.817615664900849,-1.018227335814967,-9.99999999999801
120,7,-8.627098449698009,7.1528176906767635,-1.1639952910003888,-10.500000000000398
120,8,-9.925539363597668,7.273761833918126,-1.3871557933369165,-11.499999999999488
120,9,-10.613905538375406,7.915631785431607,-1.7163566652831228,-9.499999999999886
120,10,-11.954278882439167,8.789079673660613,-1.7352272299823568,-9.000000000000341
120,11,-12.695951831077831,9.170977797854409,-1.889611712968964,-10.500000000000398
120,12,-13.070864338420073,9.63825173527488,-2.0316852730175268,-9.499999999999886
120,13,-13.90250142988784,10.005296289460501,-2.2673283469479317,-12.5
120,14,-14.854256628470882,10.599136739188292,-2.6158929822436368,-15.500000000000114
120,15,-15.62546309276888,11.823852302418997,-2.661934909831513,-14.999999999999147
120,16,-16.99575452831003,11.432337177200218,-2.8402766002460873,-13.49999999999909
120,17,-17.431648540459573,12.062192528385438,-2.9899868336751463,-15.500000000000114
120,18,-17.69547861608079,12.66219212950796,-3.2005983280671026,-15.500000000000114
120,19,-18.90083784634195,12.872950065566327,-3.521072949023796,-17.99999999999926
120,20,-19.715075252841025,13.551156837318276,-3.593132861132357,-18.999999999999773
120,21,-20.893400380741458,13.432390165223552,-3.787663876461067,-18.500000000000227
120,22,-21.797382609508297,13.70784272147428,-3.948523599003862,-20.000000000000284
120,23,-22.21044396582306,13.729792843971033,-4.176259477326386,-20.49999999999983
120,24,-22.66205860452579,14.072234285208035,-4.467306200238056,-23.000000000000398
120,25,-23.641283024447713,15.192558497538212,-4.510730067154827,-23.99999999999949
120,26,-25.179047891773106,15.435862292617204,-4.668089756845859,-25.99999999999909
120,27,-25.153716701899153,15.83073654428171,-4.838090619727928,-25.0
