run,horizon_minutes,forecasts,scored,missing_outcomes,sessions,log_loss,brier,baseline_log_loss,loss_difference,difference_ci_low,difference_ci_high,endpoint_mae_ticks,zero_forecast_mae_ticks,endpoint_rmse_ticks,zero_forecast_rmse_ticks,interval_80_coverage,interval_80_width,long_mae80_coverage,short_mae80_coverage,mean_scenario_ess,mean_nearest_distance,feature_coverage,flow_coverage
base-1729,60,576,576,0,8,0.9515826452424946,0.5641686831246099,1.0600458777954005,-0.10846323255290578,-0.1350331778469216,-0.08063348548219498,10.122786190146856,11.713541666666641,13.537294752469963,16.021117791146086,0.8506944444444444,38.66280843274108,0.8680555555555556,0.8263888888888888,1240.110678777084,0.4275269399011105,0.9782608695652174,1.0
base-1729,120,480,480,0,8,0.9745421976702929,0.5862949903458854,1.0119961206223085,-0.0374539229520154,-0.13391207921878662,0.05296387514553694,17.495516848927096,19.50833333333328,23.02907777596838,25.04988772429925,0.8270833333333334,67.8763467127753,0.8833333333333333,0.7791666666666667,1068.7987844610464,0.4343043104474462,0.9739130434782607,1.0
base-1729,240,288,288,0,8,1.1322561284125106,0.6916287201882045,1.092033952566803,0.04022217584570759,-0.06629627296313566,0.18570708025006538,33.42978881217043,30.71354166666662,40.366077230278464,38.8767081618287,0.7638888888888888,120.40170740523129,0.7638888888888888,0.8854166666666666,659.8002624278771,0.47591839084876664,0.9565217391304349,1.0
cgb_only-1729,60,576,576,0,8,1.022707715333284,0.6128659697539386,1.0600458777954005,-0.03733816246211625,-0.05415189538138264,-0.015479209558705942,10.830603103422105,11.713541666666641,14.832321880448545,16.021117791146086,0.8576388888888888,43.963101176867966,0.8697916666666666,0.8246527777777778,1151.7754795967055,0.2692104705221743,1.0,0.0
cgb_only-1729,120,480,480,0,8,0.9956967658812599,0.5992036241323638,1.0119961206223085,-0.01629935474104853,-0.036523775566414896,0.0018961202516348725,17.949237069439768,19.50833333333328,23.60456669593375,25.04988772429925,0.8562500000000001,72.13716643073593,0.8895833333333334,0.8020833333333334,981.2977251576847,0.2745787208823318,1.0,0.0
cgb_only-1729,240,288,288,0,8,1.052287264502021,0.6316899740671125,1.092033952566803,-0.039746688064781946,-0.08875335247125743,0.014132882355410976,31.211158758636866,30.71354166666662,37.56508459067896,38.8767081618287,0.7881944444444444,125.2736675611978,0.829861111111111,0.8715277777777778,616.7459155049908,0.3022929087351413,1.0,0.0
fast_decay-1729,60,576,576,0,8,1.1274893639831978,0.680723225167681,1.1450408758992021,-0.017551511916004216,-0.05208553411882799,0.017169918075536948,7.373999886279587,7.597222222222265,9.940566804222422,10.278458123127642,0.9496527777777778,41.838966768216764,0.9131944444444444,0.921875,1347.1082215653055,0.4158431087979334,0.9782608695652174,1.0
fast_decay-1729,120,480,480,0,8,1.2668612671052142,0.7609197045787874,1.2336780812975685,0.03318318580764551,-0.04403634278402218,0.11959078181415944,11.043334637340044,10.59791666666667,14.79846787783601,14.36528657331041,0.9916666666666667,70.81748533546276,0.9458333333333333,0.9604166666666667,1095.4835941515792,0.4162470714915433,0.9739130434782607,1.0
fast_decay-1729,240,288,288,0,8,1.2671249988069688,0.7737035092618354,1.23476933024613,0.03235566856083916,-0.10432564583867086,0.1996972822353796,21.606114642436236,17.342013888888992,27.752439749005674,23.84926259633384,0.9583333333333334,122.86517640862264,0.9027777777777778,0.9965277777777778,617.4357678425258,0.4429310273917651,0.9565217391304349,1.0
liquidity_shock-1729,60,576,576,0,8,1.0120733667865514,0.6056968242862988,1.0963866591632652,-0.08431329237671366,-0.11496363375787733,-0.05103763084043082,14.556726995986585,15.475694444444413,21.835190417636678,23.804524400719362,0.8263888888888888,52.511356869886335,0.8628472222222222,0.8107638888888888,1305.561196424101,0.6346162837287355,0.9782608695652174,1.0
