run,horizon_minutes,strategy,session_id,decision_time,entry_time,exit_time,direction,midpoint_change_cad,spread_crossing_cad,touch_change_cad,additional_slippage_cad,fees_cad,net_benchmark_cad,status,stress_net_cad,delayed_exit_minutes
base-3141,60,model,2025-02-19,2025-02-19 14:55:00+00:00,2025-02-19 14:56:00+00:00,2025-02-19 15:55:00+00:00,-1,-99.99999999999432,10.000000000005116,-109.99999999999943,10.0,4.0,-123.99999999999943,price_touch_benchmark_not_verified_fills,-153.99999999999943,0.0
base-3141,60,model,2025-02-19,2025-02-19 16:00:00+00:00,2025-02-19 16:01:00+00:00,2025-02-19 17:00:00+00:00,1,329.9999999999841,9.999999999990905,319.9999999999932,10.0,4.0,305.9999999999932,price_touch_benchmark_not_verified_fills,275.9999999999932,0.0
base-3141,60,model,2025-02-19,2025-02-19 17:30:00+00:00,2025-02-19 17:31:00+00:00,2025-02-19 18:30:00+00:00,1,155.00000000000114,15.000000000000568,140.00000000000057,10.0,4.0,126.00000000000057,price_touch_benchmark_not_verified_fills,96.00000000000057,0.0
base-3141,60,model,2025-02-19,2025-02-19 18:35:00+00:00,2025-02-19 18:36:00+00:00,2025-02-19 19:35:00+00:00,1,125.0,15.000000000000568,109.99999999999943,10.0,4.0,95.99999999999943,price_touch_benchmark_not_verified_fills,65.99999999999943,0.0
base-3141,60,model,2025-02-19,2025-02-19 19:50:00+00:00,2025-02-19 19:51:00+00:00,2025-02-19 20:50:00+00:00,1,160.000000000025,10.000000000019327,150.00000000000568,10.0,4.0,136.00000000000568,price_touch_benchmark_not_verified_fills,106.00000000000568,0.0
base-3141,60,model,2025-02-20,2025-02-20 14:05:00+00:00,2025-02-20 14:06:00+00:00,2025-02-20 15:05:00+00:00,-1,254.99999999999545,15.000000000000568,239.99999999999488,10.0,4.0,225.99999999999488,price_touch_benchmark_not_verified_fills,195.99999999999488,0.0
base-3141,60,model,2025-02-20,2025-02-20 15:10:00+00:00,2025-02-20 15:11:00+00:00,2025-02-20 16:10:00+00:00,-1,-1.4210854715202004e-11,19.99999999999602,-20.000000000010232,10.0,4.0,-34.00000000001023,price_touch_benchmark_not_verified_fills,-64.00000000001023,0.0
base-3141,60,model,2025-02-20,2025-02-20 16:15:00+00:00,2025-02-20 16:16:00+00:00,2025-02-20 17:15:00+00:00,-1,89.9999999999892,19.99999999999602,69.99999999999318,10.0,4.0,55.99999999999318,price_touch_benchmark_not_verified_fills,25.99999999999318,0.0
base-3141,60,model,2025-02-20,2025-02-20 17:20:00+00:00,2025-02-20 17:21:00+00:00,2025-02-20 18:20:00+00:00,1,260.0000000000193,10.000000000019327,250.0,10.0,4.0,236.0,price_touch_benchmark_not_verified_fills,206.0,0.0
base-3141,60,model,2025-02-20,2025-02-20 18:25:00+00:00,2025-02-20 18:26:00+00:00,2025-02-20 19:25:00+00:00,1,-39.99999999999204,10.000000000019327,-50.00000000001137,10.0,4.0,-64.00000000001137,price_touch_benchmark_not_verified_fills,-94.00000000001137,0.0
base-3141,60,model,2025-02-20,2025-02-20 19:30:00+00:00,2025-02-20 19:31:00+00:00,2025-02-20 20:30:00+00:00,1,-60.000000000002274,9.999999999990905,-69.99999999999318,10.0,4.0,-83.99999999999318,price_touch_benchmark_not_verified_fills,-113.99999999999318,0.0
base-3141,60,model,2025-02-21,2025-02-21 14:05:00+00:00,2025-02-21 14:06:00+00:00,2025-02-21 15:05:00+00:00,-1,-50.00000000001137,9.999999999990905,-60.000000000002274,10.0,4.0,-74.00000000000227,price_touch_benchmark_not_verified_fills,-104.00000000000227,0.0
base-3141,60,model,2025-02-21,2025-02-21 15:10:00+00:00,2025-02-21 15:11:00+00:00,2025-02-21 16:10:00+00:00,-1,314.9999999999977,15.000000000000568,299.99999999999716,10.0,4.0,285.99999999999716,price_touch_benchmark_not_verified_fills,255.99999999999716,0.0
base-3141,60,model,2025-02-21,2025-02-21 16:15:00+00:00,2025-02-21 16:16:00+00:00,2025-02-21 17:15:00+00:00,-1,550.0000000000114,10.000000000005116,540.0000000000063,10.0,4.0,526.0000000000063,price_touch_benchmark_not_verified_fills,496.00000000000625,0.0
base-3141,60,model,2025-02-21,2025-02-21 17:20:00+00:00,2025-02-21 17:21:00+00:00,2025-02-21 18:20:00+00:00,-1,259.9999999999909,9.999999999990905,250.0,10.0,4.0,236.0,price_touch_benchmark_not_verified_fills,206.0,0.0
base-3141,60,model,2025-02-21,2025-02-21 18:30:00+00:00,2025-02-21 18:31:00+00:00,2025-02-21 19:30:00+00:00,-1,200.00000000001705,10.000000000019327,189.99999999999773,10.0,4.0,175.99999999999773,price_touch_benchmark_not_verified_fills,145.99999999999773,0.0
base-3141,60,model,2025-02-21,2025-02-21 19:55:00+00:00,2025-02-21 19:56:00+00:00,2025-02-21 20:55:00+00:00,-1,90.00000000000341,10.000000000019327,79.99999999998408,10.0,4.0,65.99999999998408,price_touch_benchmark_not_verified_fills,35.999999999984084,0.0
base-3141,60,model,2025-02-24,2025-02-24 14:05:00+00:00,2025-02-24 14:06:00+00:00,2025-02-24 15:05:00+00:00,-1,-104.99999999998977,15.000000000000568,-119.99999999999034,10.0,4.0,-133.99999999999034,price_touch_benchmark_not_verified_fills,-163.99999999999034,0.0
base-3141,60,model,2025-02-24,2025-02-24 15:10:00+00:00,2025-02-24 15:11:00+00:00,2025-02-24 16:10:00+00:00,-1,-39.99999999999204,20.000000000010232,-60.000000000002274,10.0,4.0,-74.00000000000227,price_touch_benchmark_not_verified_fills,-104.00000000000227,0.0
base-3141,60,model,2025-02-24,2025-02-24 16:15:00+00:00,2025-02-24 16:16:00+00:00,2025-02-24 17:15:00+00:00,-1,-310.0000000000023,19.99999999999602,-329.9999999999983,10.0,4.0,-343.9999999999983,price_touch_benchmark_not_verified_fills,-373.9999999999983,0.0
base-3141,60,model,2025-02-24,2025-02-24 17:20:00+00:00,2025-02-24 17:21:00+00:00,2025-02-24 18:20:00+00:00,-1,45.000000000001705,25.000000000005684,19.99999999999602,10.0,4.0,5.999999999996021,price_touch_benchmark_not_verified_fills,-24.00000000000398,0.0
base-3141,60,model,2025-02-24,2025-02-24 18:30:00+00:00,2025-02-24 18:31:00+00:00,2025-02-24 19:30:00+00:00,1,54.99999999999261,24.999999999991473,30.000000000001137,10.0,4.0,16.000000000001137,price_touch_benchmark_not_verified_fills,-13.999999999998863,0.0
base-3141,60,model,2025-02-25,2025-02-25 14:05:00+00:00,2025-02-25 14:06:00+00:00,2025-02-25 15:05:00+00:00,-1,20.000000000010232,10.000000000019327,9.999999999990905,10.0,4.0,-4.000000000009095,price_touch_benchmark_not_verified_fills,-34.000000000009095,0.0
base-3141,60,model,2025-02-25,2025-02-25 15:25:00+00:00,2025-02-25 15:26:00+00:00,2025-02-25 16:25:00+00:00,-1,180.00000000000682,10.000000000019327,169.9999999999875,10.0,4.0,155.9999999999875,price_touch_benchmark_not_verified_fills,125.9999999999875,0.0
