run,horizon_minutes,strategy,session_id,decision_time,entry_time,exit_time,direction,midpoint_change_cad,spread_crossing_cad,touch_change_cad,additional_slippage_cad,fees_cad,net_benchmark_cad,status,stress_net_cad,delayed_exit_minutes
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 14:05:00+00:00,2025-02-19 14:06:00+00:00,2025-02-19 15:05:00+00:00,1,74.99999999998863,15.000000000000568,59.99999999998806,10.0,4.0,45.99999999998806,price_touch_benchmark_not_verified_fills,15.999999999988063,0.0
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 15:35:00+00:00,2025-02-19 15:36:00+00:00,2025-02-19 16:35:00+00:00,-1,1020.0000000000102,60.000000000002274,960.000000000008,10.0,4.0,946.000000000008,price_touch_benchmark_not_verified_fills,916.000000000008,0.0
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 16:40:00+00:00,2025-02-19 16:41:00+00:00,2025-02-19 17:40:00+00:00,-1,260.0000000000051,40.00000000000625,219.99999999999886,10.0,4.0,205.99999999999886,price_touch_benchmark_not_verified_fills,175.99999999999886,0.0
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 17:50:00+00:00,2025-02-19 17:51:00+00:00,2025-02-19 18:50:00+00:00,-1,-39.99999999999204,10.000000000005116,-49.99999999999716,10.0,4.0,-63.99999999999716,price_touch_benchmark_not_verified_fills,-93.99999999999716,0.0
liquidity_shock-1729,60,model,2025-02-19,2025-02-19 18:55:00+00:00,2025-02-19 18:56:00+00:00,2025-02-19 19:55:00+00:00,-1,-30.000000000001137,10.000000000005116,-40.00000000000625,10.0,4.0,-54.00000000000625,price_touch_benchmark_not_verified_fills,-84.00000000000625,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 14:05:00+00:00,2025-02-20 14:06:00+00:00,2025-02-20 15:05:00+00:00,-1,-4.9999999999954525,15.000000000000568,-19.99999999999602,10.0,4.0,-33.99999999999602,price_touch_benchmark_not_verified_fills,-63.99999999999602,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 15:25:00+00:00,2025-02-20 15:26:00+00:00,2025-02-20 16:25:00+00:00,-1,89.9999999999892,60.000000000002274,29.999999999986926,10.0,4.0,15.999999999986926,price_touch_benchmark_not_verified_fills,-14.000000000013074,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 17:05:00+00:00,2025-02-20 17:06:00+00:00,2025-02-20 18:05:00+00:00,-1,9.999999999990905,39.99999999999204,-30.000000000001137,10.0,4.0,-44.00000000000114,price_touch_benchmark_not_verified_fills,-74.00000000000114,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 18:10:00+00:00,2025-02-20 18:11:00+00:00,2025-02-20 19:10:00+00:00,-1,500.0,19.99999999999602,480.000000000004,10.0,4.0,466.000000000004,price_touch_benchmark_not_verified_fills,436.000000000004,0.0
liquidity_shock-1729,60,model,2025-02-20,2025-02-20 19:25:00+00:00,2025-02-20 19:26:00+00:00,2025-02-20 20:25:00+00:00,-1,-50.00000000001137,9.999999999990905,-60.000000000002274,10.0,4.0,-74.00000000000227,price_touch_benchmark_not_verified_fills,-104.00000000000227,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 14:05:00+00:00,2025-02-21 14:06:00+00:00,2025-02-21 15:05:00+00:00,-1,110.00000000001364,10.000000000019327,99.99999999999432,10.0,4.0,85.99999999999432,price_touch_benchmark_not_verified_fills,55.999999999994316,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 16:00:00+00:00,2025-02-21 16:01:00+00:00,2025-02-21 17:00:00+00:00,-1,89.9999999999892,60.000000000002274,29.999999999986926,10.0,4.0,15.999999999986926,price_touch_benchmark_not_verified_fills,-14.000000000013074,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 17:30:00+00:00,2025-02-21 17:31:00+00:00,2025-02-21 18:30:00+00:00,1,75.00000000001705,15.00000000001478,60.000000000002274,10.0,4.0,46.000000000002274,price_touch_benchmark_not_verified_fills,16.000000000002274,0.0
liquidity_shock-1729,60,model,2025-02-21,2025-02-21 18:55:00+00:00,2025-02-21 18:56:00+00:00,2025-02-21 19:55:00+00:00,-1,-20.000000000010232,19.99999999998181,-39.99999999999204,10.0,4.0,-53.99999999999204,price_touch_benchmark_not_verified_fills,-83.99999999999204,0.0
