horizon_minutes,model,rows,sessions,log_loss,brier,accuracy
60,mixture,2646,49,1.0964515923500786,0.66516795098905,0.34051398337112604
60,train_frequency,2646,49,1.0980911448675847,0.6663224479114283,0.35260770975056693
60,direct_full,2646,49,1.0973748975672741,0.6657335319020529,0.354119425547997
60,local,2646,49,1.097110536446302,0.6656475033987358,0.3495842781557068
60,structural,2646,49,1.0964084344787492,0.665190804936944,0.35109599395313684
60,supervised,2646,49,1.0973748975672741,0.6657335319020529,0.354119425547997
60,momentum_only,2646,49,1.099660994289822,0.6671597083476339,0.3537414965986393
60,clock_only,2646,49,1.0978150088129333,0.6660210153179088,0.35109599395313684
60,price_only,2646,49,1.095584092148497,0.6646544919301274,0.35676492819349953
120,mixture,2058,49,1.093546977030164,0.6633069973315586,0.37074829931972797
120,train_frequency,2058,49,1.0991686012804986,0.6670649701338291,0.33624878522837703
120,direct_full,2058,49,1.0965435462460988,0.6658134248754417,0.34888241010689997
120,local,2058,49,1.0938003649776242,0.6632241982342787,0.38095238095238093
120,structural,2058,49,1.0940485043124508,0.6633642048013006,0.3862973760932945
120,supervised,2058,49,1.0965435462460986,0.6658134248754416,0.34888241010689997
120,momentum_only,2058,49,1.0947158936631398,0.6640303026351333,0.3692905733722061
120,clock_only,2058,49,1.1006305363697686,0.6680341569620629,0.3445092322643343
120,price_only,2058,49,1.0898623153765918,0.6610224625204969,0.3654033041788144
240,mixture,882,49,1.0853877170570996,0.6573077012713712,0.4274376417233561
240,train_frequency,882,49,1.0894829807325965,0.6604372969895549,0.4070294784580497
240,direct_full,882,49,1.0893102000791108,0.6596464267975715,0.4092970521541949
240,local,882,49,1.0863120042293875,0.658251732241824,0.41156462585034004
240,structural,882,49,1.085846715930156,0.6579551085077733,0.41496598639455773
240,supervised,882,49,1.0893102000791108,0.6596464267975715,0.4092970521541949
240,momentum_only,882,49,1.0925819158987167,0.6624937877199918,0.40136054421768697
240,clock_only,882,49,1.0891796492315595,0.6602531414762336,0.4070294784580497
240,price_only,882,49,1.0884066877903016,0.6584855345979008,0.41383219954648526
