session,expected_bars,valid_bars,retained,open,close,missing_expected_bars,nonfinite_ohlc_bars,invalid_volume_bars,inconsistent_or_nonpositive_ohlc_bars
2025-09-26,78,78,True,2025-09-26T13:30:00+00:00,2025-09-26T20:00:00+00:00,0,0,0,0
2025-09-29,78,78,True,2025-09-29T13:30:00+00:00,2025-09-29T20:00:00+00:00,0,0,0,0
2025-09-30,78,78,True,2025-09-30T13:30:00+00:00,2025-09-30T20:00:00+00:00,0,0,0,0
2025-10-01,78,78,True,2025-10-01T13:30:00+00:00,2025-10-01T20:00:00+00:00,0,0,0,0
2025-10-02,78,78,True,2025-10-02T13:30:00+00:00,2025-10-02T20:00:00+00:00,0,0,0,0
2025-10-03,78,78,True,2025-10-03T13:30:00+00:00,2025-10-03T20:00:00+00:00,0,0,0,0
2025-10-06,78,78,True,2025-10-06T13:30:00+00:00,2025-10-06T20:00:00+00:00,0,0,0,0
2025-10-07,78,78,True,2025-10-07T13:30:00+00:00,2025-10-07T20:00:00+00:00,0,0,0,0
2025-10-08,78,78,True,2025-10-08T13:30:00+00:00,2025-10-08T20:00:00+00:00,0,0,0,0
2025-10-09,78,78,True,2025-10-09T13:30:00+00:00,2025-10-09T20:00:00+00:00,0,0,0,0
2025-10-10,78,78,True,2025-10-10T13:30:00+00:00,2025-10-10T20:00:00+00:00,0,0,0,0
2025-10-13,78,78,True,2025-10-13T13:30:00+00:00,2025-10-13T20:00:00+00:00,0,0,0,0
2025-10-14,78,78,True,2025-10-14T13:30:00+00:00,2025-10-14T20:00:00+00:00,0,0,0,0
2025-10-15,78,78,True,2025-10-15T13:30:00+00:00,2025-10-15T20:00:00+00:00,0,0,0,0
2025-10-16,78,78,True,2025-10-16T13:30:00+00:00,2025-10-16T20:00:00+00:00,0,0,0,0
2025-10-17,78,78,True,2025-10-17T13:30:00+00:00,2025-10-17T20:00:00+00:00,0,0,0,0
2025-10-20,78,78,True,2025-10-20T13:30:00+00:00,2025-10-20T20:00:00+00:00,0,0,0,0
2025-10-21,78,78,True,2025-10-21T13:30:00+00:00,2025-10-21T20:00:00+00:00,0,0,0,0
2025-10-22,78,78,True,2025-10-22T13:30:00+00:00,2025-10-22T20:00:00+00:00,0,0,0,0
2025-10-23,78,78,True,2025-10-23T13:30:00+00:00,2025-10-23T20:00:00+00:00,0,0,0,0
2025-10-24,78,78,True,2025-10-24T13:30:00+00:00,2025-10-24T20:00:00+00:00,0,0,0,0
2025-10-27,78,78,True,2025-10-27T13:30:00+00:00,2025-10-27T20:00:00+00:00,0,0,0,0
2025-10-28,78,78,True,2025-10-28T13:30:00+00:00,2025-10-28T20:00:00+00:00,0,0,0,0
2025-10-29,78,78,True,2025-10-29T13:30:00+00:00,2025-10-29T20:00:00+00:00,0,0,0,0
2025-10-30,78,78,True,2025-10-30T13:30:00+00:00,2025-10-30T20:00:00+00:00,0,0,0,0
2025-10-31,78,78,True,2025-10-31T13:30:00+00:00,2025-10-31T20:00:00+00:00,0,0,0,0
2025-11-03,78,78,True,2025-11-03T14:30:00+00:00,2025-11-03T21:00:00+00:00,0,0,0,0
2025-11-04,78,78,True,2025-11-04T14:30:00+00:00,2025-11-04T21:00:00+00:00,0,0,0,0
2025-11-05,78,78,True,2025-11-05T14:30:00+00:00,2025-11-05T21:00:00+00:00,0,0,0,0
2025-11-06,78,78,True,2025-11-06T14:30:00+00:00,2025-11-06T21:00:00+00:00,0,0,0,0
2025-11-07,78,78,True,2025-11-07T14:30:00+00:00,2025-11-07T21:00:00+00:00,0,0,0,0
2025-11-10,78,78,True,2025-11-10T14:30:00+00:00,2025-11-10T21:00:00+00:00,0,0,0,0
2025-11-11,78,78,True,2025-11-11T14:30:00+00:00,2025-11-11T21:00:00+00:00,0,0,0,0
2025-11-12,78,78,True,2025-11-12T14:30:00+00:00,2025-11-12T21:00:00+00:00,0,0,0,0
2025-11-13,78,78,True,2025-11-13T14:30:00+00:00,2025-11-13T21:00:00+00:00,0,0,0,0
2025-11-14,78,78,True,2025-11-14T14:30:00+00:00,2025-11-14T21:00:00+00:00,0,0,0,0
2025-11-17,78,78,True,2025-11-17T14:30:00+00:00,2025-11-17T21:00:00+00:00,0,0,0,0
2025-11-18,78,78,True,2025-11-18T14:30:00+00:00,2025-11-18T21:00:00+00:00,0,0,0,0
2025-11-19,78,78,True,2025-11-19T14:30:00+00:00,2025-11-19T21:00:00+00:00,0,0,0,0
2025-11-20,78,78,True,2025-11-20T14:30:00+00:00,2025-11-20T21:00:00+00:00,0,0,0,0
2025-11-21,78,78,True,2025-11-21T14:30:00+00:00,2025-11-21T21:00:00+00:00,0,0,0,0
2025-11-24,78,78,True,2025-11-24T14:30:00+00:00,2025-11-24T21:00:00+00:00,0,0,0,0
2025-11-25,78,78,True,2025-11-25T14:30:00+00:00,2025-11-25T21:00:00+00:00,0,0,0,0
2025-11-26,78,78,True,2025-11-26T14:30:00+00:00,2025-11-26T21:00:00+00:00,0,0,0,0
2025-11-28,42,40,False,2025-11-28T14:30:00+00:00,2025-11-28T18:00:00+00:00,0,2,2,0
2025-12-01,78,78,True,2025-12-01T14:30:00+00:00,2025-12-01T21:00:00+00:00,0,0,0,0
2025-12-02,78,78,True,2025-12-02T14:30:00+00:00,2025-12-02T21:00:00+00:00,0,0,0,0
2025-12-03,78,78,True,2025-12-03T14:30:00+00:00,2025-12-03T21:00:00+00:00,0,0,0,0
2025-12-04,78,78,True,2025-12-04T14:30:00+00:00,2025-12-04T21:00:00+00:00,0,0,0,0
2025-12-05,78,78,True,2025-12-05T14:30:00+00:00,2025-12-05T21:00:00+00:00,0,0,0,0
2025-12-08,78,78,True,2025-12-08T14:30:00+00:00,2025-12-08T21:00:00+00:00,0,0,0,0
2025-12-09,78,78,True,2025-12-09T14:30:00+00:00,2025-12-09T21:00:00+00:00,0,0,0,0
2025-12-10,78,78,True,2025-12-10T14:30:00+00:00,2025-12-10T21:00:00+00:00,0,0,0,0
2025-12-11,78,78,True,2025-12-11T14:30:00+00:00,2025-12-11T21:00:00+00:00,0,0,0,0
2025-12-12,78,78,True,2025-12-12T14:30:00+00:00,2025-12-12T21:00:00+00:00,0,0,0,0
2025-12-15,78,78,True,2025-12-15T14:30:00+00:00,2025-12-15T21:00:00+00:00,0,0,0,0
2025-12-16,78,78,True,2025-12-16T14:30:00+00:00,2025-12-16T21:00:00+00:00,0,0,0,0
2025-12-17,78,78,True,2025-12-17T14:30:00+00:00,2025-12-17T21:00:00+00:00,0,0,0,0
2025-12-18,78,78,True,2025-12-18T14:30:00+00:00,2025-12-18T21:00:00+00:00,0,0,0,0
2025-12-19,78,78,True,2025-12-19T14:30:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,0
2025-12-22,78,78,True,2025-12-22T14:30:00+00:00,2025-12-22T21:00:00+00:00,0,0,0,0
2025-12-23,78,78,True,2025-12-23T14:30:00+00:00,2025-12-23T21:00:00+00:00,0,0,0,0
2025-12-24,42,40,False,2025-12-24T14:30:00+00:00,2025-12-24T18:00:00+00:00,0,2,2,0
2025-12-26,78,78,True,2025-12-26T14:30:00+00:00,2025-12-26T21:00:00+00:00,0,0,0,0
2025-12-29,78,78,True,2025-12-29T14:30:00+00:00,2025-12-29T21:00:00+00:00,0,0,0,0
2025-12-30,78,78,True,2025-12-30T14:30:00+00:00,2025-12-30T21:00:00+00:00,0,0,0,0
2025-12-31,78,78,True,2025-12-31T14:30:00+00:00,2025-12-31T21:00:00+00:00,0,0,0,0
2026-01-02,78,78,True,2026-01-02T14:30:00+00:00,2026-01-02T21:00:00+00:00,0,0,0,0
2026-01-05,78,78,True,2026-01-05T14:30:00+00:00,2026-01-05T21:00:00+00:00,0,0,0,0
2026-01-06,78,78,True,2026-01-06T14:30:00+00:00,2026-01-06T21:00:00+00:00,0,0,0,0
2026-01-07,78,78,True,2026-01-07T14:30:00+00:00,2026-01-07T21:00:00+00:00,0,0,0,0
2026-01-08,78,78,True,2026-01-08T14:30:00+00:00,2026-01-08T21:00:00+00:00,0,0,0,0
2026-01-09,78,78,True,2026-01-09T14:30:00+00:00,2026-01-09T21:00:00+00:00,0,0,0,0
2026-01-12,78,78,True,2026-01-12T14:30:00+00:00,2026-01-12T21:00:00+00:00,0,0,0,0
2026-01-13,78,78,True,2026-01-13T14:30:00+00:00,2026-01-13T21:00:00+00:00,0,0,0,0
2026-01-14,78,78,True,2026-01-14T14:30:00+00:00,2026-01-14T21:00:00+00:00,0,0,0,0
2026-01-15,78,78,True,2026-01-15T14:30:00+00:00,2026-01-15T21:00:00+00:00,0,0,0,0
2026-01-16,78,78,True,2026-01-16T14:30:00+00:00,2026-01-16T21:00:00+00:00,0,0,0,0
2026-01-20,78,78,True,2026-01-20T14:30:00+00:00,2026-01-20T21:00:00+00:00,0,0,0,0
2026-01-21,78,77,False,2026-01-21T14:30:00+00:00,2026-01-21T21:00:00+00:00,0,1,1,0
2026-01-22,78,78,True,2026-01-22T14:30:00+00:00,2026-01-22T21:00:00+00:00,0,0,0,0
2026-01-23,78,78,True,2026-01-23T14:30:00+00:00,2026-01-23T21:00:00+00:00,0,0,0,0
2026-01-26,78,78,True,2026-01-26T14:30:00+00:00,2026-01-26T21:00:00+00:00,0,0,0,0
2026-01-27,78,78,True,2026-01-27T14:30:00+00:00,2026-01-27T21:00:00+00:00,0,0,0,0
2026-01-28,78,78,True,2026-01-28T14:30:00+00:00,2026-01-28T21:00:00+00:00,0,0,0,0
2026-01-29,78,78,True,2026-01-29T14:30:00+00:00,2026-01-29T21:00:00+00:00,0,0,0,0
2026-01-30,78,78,True,2026-01-30T14:30:00+00:00,2026-01-30T21:00:00+00:00,0,0,0,0
2026-02-02,78,27,False,2026-02-02T14:30:00+00:00,2026-02-02T21:00:00+00:00,0,51,51,0
2026-02-03,78,78,True,2026-02-03T14:30:00+00:00,2026-02-03T21:00:00+00:00,0,0,0,0
2026-02-04,78,78,True,2026-02-04T14:30:00+00:00,2026-02-04T21:00:00+00:00,0,0,0,0
2026-02-05,78,78,True,2026-02-05T14:30:00+00:00,2026-02-05T21:00:00+00:00,0,0,0,0
2026-02-06,78,76,False,2026-02-06T14:30:00+00:00,2026-02-06T21:00:00+00:00,0,2,2,0
2026-02-09,78,78,True,2026-02-09T14:30:00+00:00,2026-02-09T21:00:00+00:00,0,0,0,0
